name	path	assignment
haplotype2_unused_utig4-1147	utig4-1147+	HAPLOTYPE2
haplotype2_unused_utig4-1280	utig4-1280+	HAPLOTYPE2
haplotype2_unused_utig4-1354	utig4-1354+	HAPLOTYPE2
haplotype2_unused_utig4-1355	utig4-1355+	HAPLOTYPE2
haplotype2_unused_utig4-1356	utig4-1356+	HAPLOTYPE2
haplotype2_unused_utig4-1452	utig4-1452+	HAPLOTYPE2
haplotype2_unused_utig4-1453	utig4-1453+	HAPLOTYPE2
haplotype2_unused_utig4-1455	utig4-1455+	HAPLOTYPE2
haplotype2_unused_utig4-1456	utig4-1456+	HAPLOTYPE2
haplotype2_unused_utig4-1457	utig4-1457+	HAPLOTYPE2
haplotype2_unused_utig4-1458	utig4-1458+	HAPLOTYPE2
haplotype2_unused_utig4-1459	utig4-1459+	HAPLOTYPE2
haplotype2_unused_utig4-1460	utig4-1460+	HAPLOTYPE2
haplotype2_unused_utig4-1461	utig4-1461+	HAPLOTYPE2
haplotype2_unused_utig4-1463	utig4-1463+	HAPLOTYPE2
haplotype2_unused_utig4-1465	utig4-1465+	HAPLOTYPE2
haplotype2_unused_utig4-153	utig4-153+	HAPLOTYPE2
haplotype2_unused_utig4-154	utig4-154+	HAPLOTYPE2
haplotype2_unused_utig4-155	utig4-155+	HAPLOTYPE2
haplotype2_unused_utig4-156	utig4-156+	HAPLOTYPE2
haplotype2_unused_utig4-266	utig4-266+	HAPLOTYPE2
haplotype2_unused_utig4-321	utig4-321+	HAPLOTYPE2
haplotype2_unused_utig4-322	utig4-322+	HAPLOTYPE2
haplotype2_unused_utig4-337	utig4-337+	HAPLOTYPE2
haplotype2_unused_utig4-346	utig4-346+	HAPLOTYPE2
haplotype2_unused_utig4-347	utig4-347+	HAPLOTYPE2
haplotype2_unused_utig4-394	utig4-394+	HAPLOTYPE2
haplotype2_unused_utig4-403	utig4-403+	HAPLOTYPE2
haplotype2_unused_utig4-404	utig4-404+	HAPLOTYPE2
haplotype2_unused_utig4-41	utig4-41+	HAPLOTYPE2
haplotype2_unused_utig4-42	utig4-42+	HAPLOTYPE2
haplotype2_unused_utig4-43	utig4-43+	HAPLOTYPE2
haplotype2_unused_utig4-464	utig4-464+	HAPLOTYPE2
haplotype2_unused_utig4-465	utig4-465+	HAPLOTYPE2
haplotype2_unused_utig4-466	utig4-466+	HAPLOTYPE2
haplotype2_unused_utig4-467	utig4-467+	HAPLOTYPE2
haplotype2_unused_utig4-471	utig4-471+	HAPLOTYPE2
haplotype2_unused_utig4-547	utig4-547+	HAPLOTYPE2
haplotype2_unused_utig4-548	utig4-548+	HAPLOTYPE2
haplotype2_unused_utig4-549	utig4-549+	HAPLOTYPE2
haplotype2_unused_utig4-550	utig4-550+	HAPLOTYPE2
haplotype2_unused_utig4-551	utig4-551+	HAPLOTYPE2
haplotype2_unused_utig4-578	utig4-578+	HAPLOTYPE2
haplotype2_unused_utig4-579	utig4-579+	HAPLOTYPE2
haplotype2_unused_utig4-583	utig4-583+	HAPLOTYPE2
haplotype2_unused_utig4-584	utig4-584+	HAPLOTYPE2
haplotype2_unused_utig4-585	utig4-585+	HAPLOTYPE2
